"","ComunidadAutonoma","IngresoIndividual","GastoBasicoIndividual","AhorroIndividual","latitude","longitude"
"1","00 Nacional",1598.69,581.597619581578,1017.09238041842,0,0
"2","01 Andalucía",1496.4,568.900114694053,927.499885305948,37.6,-4.5
"3","02 Aragón",1575.94,578.773607105371,997.166392894629,41,-1
"4","03 Asturias",1560.68,576.879346429023,983.800653570977,43.36662,-5.86112
"5","04 Balears",1655.1,588.599929198406,1066.50007080159,39.18969,2.52136
"6","05 Canarias",1444.39,562.443987709986,881.946012290015,28,-15.5
"7","06 Cantabria",1499.44,569.277477240324,930.162522759677,43.2,-4.03333
"8","07 Castilla y León",1463.69,564.839743349141,898.850256650859,39.500011,-3.000033
"9","08 Castilla La Mancha",1440.71,561.987180417131,878.722819582869,41.75,-4.7819
"10","09 Cataluña",1670.64,590.528946951384,1080.11105304862,41.38879,2.15899
"11","10 Comunitat Valenciana",1485.34,567.527210167158,917.812789832842,39.45975,-0.37739
"12","11 Extremadura",1370.54,553.27680874876,817.26319125124,39.16667,-6.16667
"13","12 Galicia",1450.1,563.15278380841,886.947216191591,42.75508,-7.86621
"14","13 Madrid",1778.28,603.89056026738,1174.38943973262,40.4165,-3.70256
"15","14 Murcia",1459.42,564.30969793053,895.11030206947,37.98704,-1.13004
"16","15 Navarra",1692.58,593.252412170196,1099.3275878298,42.695391,-1.676069
"17","16 País Vasco",1855.3,613.451238989026,1241.84876101097,43,-2.75
"18","17 La Rioja",1497.28,569.009351220605,928.270648779396,42.465,-2.44373
